comparison,baseline,candidate,metric,n,baseline_mean,candidate_mean,mean_difference_candidate_minus_baseline,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,better_direction_mean,candidate_better_fraction
cfseg_counterfactual vs original,original,cfseg_counterfactual,dice,50,0.6772468420312258,0.8308603014915151,0.15361345946028945,0.1129371436913641,0.19776285876155955,3.6148861681795097e-12,0.15361345946028945,0.88
cfseg_counterfactual vs original,original,cfseg_counterfactual,iou,50,0.5345676084767483,0.7271969485327051,0.19262934005595667,0.146640413995384,0.2419665436363365,8.842704346534447e-12,0.19262934005595667,0.88
cfseg_counterfactual vs original,original,cfseg_counterfactual,boundary_f1,50,0.1393769910384176,0.20744421564519352,0.0680672246067759,0.041910871527780974,0.09474250937266344,2.9747345218211763e-05,0.0680672246067759,0.66
cfseg_counterfactual vs original,original,cfseg_counterfactual,hd95,50,131.00369874815203,93.13252627413802,-37.87117247401402,-54.45582207244672,-21.56803687114457,4.213757459226031e-05,37.87117247401402,0.74
cfseg_counterfactual vs original,original,cfseg_counterfactual,area_error,50,0.3119994678093072,0.18603319844945754,-0.12596626935984967,-0.23921067061790582,-0.006790346289790897,0.017101069545240932,0.12596626935984967,0.72
matched_whole vs original,original,matched_whole,dice,50,0.6772468420312258,0.8308603014915151,0.15361345946028948,0.11316697502160257,0.19791407757956794,3.6148861681795097e-12,0.15361345946028948,0.88
matched_whole vs original,original,matched_whole,iou,50,0.5345676084767483,0.7271969485327051,0.19262934005595667,0.14686502005510402,0.2425153535794858,8.842704346534447e-12,0.19262934005595667,0.88
matched_whole vs original,original,matched_whole,boundary_f1,50,0.1393769910384176,0.20744421564519352,0.0680672246067759,0.042194301026327354,0.09430669982005954,2.9747345218211763e-05,0.0680672246067759,0.66
matched_whole vs original,original,matched_whole,hd95,50,131.00369874815203,93.13252627413802,-37.871172474014,-54.22292163386649,-21.85035341609855,4.213757459226031e-05,37.871172474014,0.74
matched_whole vs original,original,matched_whole,area_error,50,0.3119994678093072,0.18603319844945754,-0.12596626935984967,-0.23904545774062544,-0.006898017114514506,0.017101069545240932,0.12596626935984967,0.72
matched_whole vs cfseg_counterfactual,cfseg_counterfactual,matched_whole,dice,50,0.8308603014915151,0.8308603014915151,8.881784197001253e-18,-8.881784197001253e-18,2.6645352591003756e-17,0.3457785861511603,8.881784197001253e-18,0.22
matched_whole vs cfseg_counterfactual,cfseg_counterfactual,matched_whole,iou,50,0.7271969485327051,0.7271969485327051,-2.220446049250313e-18,-1.5543122344752193e-17,1.1102230246251566e-17,0.8386537916141652,-2.220446049250313e-18,0.1
matched_whole vs cfseg_counterfactual,cfseg_counterfactual,matched_whole,boundary_f1,50,0.20744421564519352,0.20744421564519352,-2.8449465006019635e-18,-6.661338147750939e-18,4.163336342344337e-19,0.13854641509892004,-2.8449465006019635e-18,0.04
matched_whole vs cfseg_counterfactual,cfseg_counterfactual,matched_whole,hd95,50,93.13252627413802,93.13252627413802,2.1316282072803005e-16,-1.5631940186722204e-15,1.9895196601282807e-15,0.7980737221573263,-2.1316282072803005e-16,0.06
