comparison,baseline,candidate,metric,n,baseline_mean,candidate_mean,mean_difference_candidate_minus_baseline,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,candidate_better_fraction
cxr_sd vs original,original,cxr_sd,dice,50,0.6772468420312258,0.7785688327230085,0.10132199069178287,0.0599933904661772,0.14609995688579333,8.784112139892386e-07,0.8
cxr_sd vs original,original,cxr_sd,iou,50,0.5345676084767483,0.6526300487023782,0.11806244022562984,0.07384740467296327,0.16508953669071413,9.364108866094512e-07,0.8
cxr_sd vs original,original,cxr_sd,boundary_f1,50,0.1393769910384176,0.14655891729952564,0.007181926261107993,-0.009138110974626691,0.024386353489034604,0.7018365959451138,0.44
cxr_sd vs original,original,cxr_sd,hd95,50,131.00369874815203,109.62517700417058,-21.378521743981434,-34.07405788625033,-9.364978416214223,0.0011471783973160399,0.68
cxr_sd vs original,original,cxr_sd,area_error,50,0.3119994678093072,0.31538036904904126,0.0033809012397340967,-0.10014408777564032,0.1099243890249288,0.5918179227766114,0.6
matched_whole vs original,original,matched_whole,dice,50,0.6772468420312258,0.7785688327230085,0.10132199069178288,0.061574407415978846,0.14582704706583896,8.784112139892386e-07,0.8
matched_whole vs original,original,matched_whole,iou,50,0.5345676084767483,0.6526300487023782,0.11806244022562984,0.0741392857540018,0.16679787330901652,9.364108866094512e-07,0.8
matched_whole vs original,original,matched_whole,boundary_f1,50,0.1393769910384176,0.14655891729952564,0.007181926261107994,-0.00902138354702263,0.024074616360591217,0.7018365959451138,0.44
matched_whole vs original,original,matched_whole,hd95,50,131.00369874815203,109.62517700417058,-21.378521743981434,-33.852109559031476,-9.663759002031325,0.0011471783973160399,0.68
matched_whole vs original,original,matched_whole,area_error,50,0.3119994678093072,0.31538036904904126,0.003380901239734094,-0.0992480420874992,0.11094806183826196,0.5918179227766114,0.6
matched_whole vs cxr_sd,cxr_sd,matched_whole,dice,50,0.7785688327230085,0.7785688327230085,4.440892098500626e-18,-1.1102230246251566e-17,1.9984014443252817e-17,0.5637028616507731,0.14
matched_whole vs cxr_sd,cxr_sd,matched_whole,iou,50,0.6526300487023782,0.6526300487023782,3.3306690738754695e-18,-6.661338147750939e-18,1.3322676295501878e-17,0.6028782026438425,0.1
matched_whole vs cxr_sd,cxr_sd,matched_whole,boundary_f1,50,0.14655891729952564,0.14655891729952564,2.220446049250313e-18,0.0,5.273559366969494e-18,0.08446903225325182,0.1
matched_whole vs cxr_sd,cxr_sd,matched_whole,hd95,50,109.62517700417058,109.62517700417058,5.684341886080802e-16,-5.684341886080802e-16,1.9895196601282807e-15,0.4142161782425251,0.02
matched_whole vs cxr_sd,cxr_sd,matched_whole,area_error,50,0.31538036904904126,0.31538036904904126,-1.5959455978986626e-18,-4.649058915617843e-18,7.632783294297951e-19,0.34278171114791145,0.06
reverse_whole vs original,original,reverse_whole,dice,50,0.6772468420312258,0.6772468420312258,1.1102230246251566e-18,-9.992007221626408e-18,1.2212453270876722e-17,0.9280084603415849,0.08
reverse_whole vs original,original,reverse_whole,iou,50,0.5345676084767483,0.5345676084767483,1.1102230246251566e-18,-8.881784197001253e-18,1.2212453270876722e-17,0.7728299926844475,0.08
reverse_whole vs original,original,reverse_whole,boundary_f1,50,0.1393769910384176,0.1393769910384176,-9.71445146547012e-19,-2.7755575615628915e-18,4.163336342344337e-19,0.2692941367197367,0.02
reverse_whole vs original,original,reverse_whole,hd95,50,131.00369874815203,131.00369874815203,-4.263256414560601e-16,-1.9895196601282807e-15,7.105427357601002e-16,0.5807121621890252,0.04
reverse_whole vs original,original,reverse_whole,area_error,50,0.3119994678093072,0.3119994678093072,6.106226635438361e-18,-1.1102230246251566e-18,1.4432899320127036e-17,0.15049923625515477,0.04
reverse_whole vs matched_whole,matched_whole,reverse_whole,dice,50,0.7785688327230085,0.6772468420312258,-0.10132199069178288,-0.14791245466950642,-0.06141643138454563,8.784112139892386e-07,0.2
reverse_whole vs matched_whole,matched_whole,reverse_whole,iou,50,0.6526300487023782,0.5345676084767483,-0.11806244022562984,-0.16680715889617329,-0.07449993415168148,9.364108866094512e-07,0.2
reverse_whole vs matched_whole,matched_whole,reverse_whole,boundary_f1,50,0.14655891729952564,0.1393769910384176,-0.0071819262611079945,-0.024197178940240142,0.008803812626764237,0.7018365959451138,0.56
reverse_whole vs matched_whole,matched_whole,reverse_whole,hd95,50,109.62517700417058,131.00369874815203,21.378521743981434,9.537543024110763,33.79719005354924,0.0011471783973160399,0.32
reverse_whole vs matched_whole,matched_whole,reverse_whole,area_error,50,0.31538036904904126,0.3119994678093072,-0.003380901239734089,-0.11077873433116488,0.09770620678033541,0.5918179227766114,0.4
matched_whole vs nonmatched_whole,nonmatched_whole,matched_whole,dice,50,0.6295146429484108,0.7785688327230085,0.14905418977459775,0.11304977105362927,0.18521932465198415,1.616786704516926e-10,0.9
matched_whole vs nonmatched_whole,nonmatched_whole,matched_whole,iou,50,0.4702034653458192,0.6526300487023782,0.18242658335655895,0.14086357478895897,0.22697262374552732,1.4432899320127035e-10,0.9
matched_whole vs nonmatched_whole,nonmatched_whole,matched_whole,boundary_f1,50,0.0582229203051849,0.14655891729952564,0.08833599699434071,0.062414969762325655,0.11553417108897206,3.134559278805682e-10,0.86
matched_whole vs nonmatched_whole,nonmatched_whole,matched_whole,hd95,50,139.50547602141538,109.62517700417058,-29.88029901724478,-44.12856403164571,-15.334458332457038,0.00012454807471407037,0.78
matched_whole vs nonmatched_whole,nonmatched_whole,matched_whole,area_error,50,0.24869874050009966,0.31538036904904126,0.06668162854894163,-0.014401609186348509,0.14922648094169386,0.13045894629165566,0.42
matched_background vs matched_boundary,matched_boundary,matched_background,dice,50,0.6911836182170279,0.739307503043641,0.04812388482661284,0.026287690255821783,0.07285590523001781,9.372738659862989e-06,0.82
matched_background vs matched_boundary,matched_boundary,matched_background,iou,50,0.5495316974797961,0.6091920934456128,0.059660395965816695,0.03589191260311442,0.08588728269505397,3.801371960321376e-06,0.82
matched_background vs matched_boundary,matched_boundary,matched_background,boundary_f1,50,0.13058461666112542,0.15972023457961654,0.029135617918491143,0.019249852094431093,0.03976326645241078,3.9920236538648624e-07,0.8
matched_background vs matched_boundary,matched_boundary,matched_background,hd95,50,128.5185748551367,111.78994656333303,-16.728628291803663,-24.433830535015215,-9.476771146576136,6.825250486741652e-05,0.74
matched_background vs matched_boundary,matched_boundary,matched_background,area_error,50,0.32769554748562796,0.2830241260895199,-0.044671421396108094,-0.1153767459963478,0.028618758008192514,0.02898427633581413,0.7
