comparison,baseline,candidate,metric,n,baseline_mean,candidate_mean,mean_difference_candidate_minus_baseline,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,candidate_better_fraction
cfseg_counterfactual vs original,original,cfseg_counterfactual,dice,200,0.7257746415341987,0.8503886651204776,0.12461402358627882,0.10847098780960464,0.14140786594899712,1.425574913497791e-32,0.92
cfseg_counterfactual vs original,original,cfseg_counterfactual,iou,200,0.5871690317311429,0.7539769136674983,0.1668078819363554,0.14782142854720418,0.1864171920537888,1.5560686055172472e-32,0.92
cfseg_counterfactual vs original,original,cfseg_counterfactual,boundary_f1,200,0.15614414905212187,0.2172079047950831,0.06106375574296125,0.04875641792913415,0.07342584525867214,1.8150520450984861e-16,0.74
cfseg_counterfactual vs original,original,cfseg_counterfactual,hd95,200,123.4864809018699,80.038554142864,-43.44792675900589,-50.58803634532311,-36.491768241413425,7.707537651907e-21,0.805
cfseg_counterfactual vs original,original,cfseg_counterfactual,area_error,200,0.3243841969150336,0.17812547220431846,-0.14625872471071516,-0.19214092232155836,-0.09987960332680831,1.1198337872842129e-10,0.765
matched_whole vs nonmatched_whole,nonmatched_whole,matched_whole,dice,200,0.6622164287160678,0.8503886651204776,0.1881722364044099,0.16900155606302386,0.20708562666723965,1.673824784707129e-32,0.935
matched_whole vs nonmatched_whole,nonmatched_whole,matched_whole,iou,200,0.5073973996720436,0.7539769136674983,0.24657951399545466,0.22281621619437478,0.26888514041647044,1.4894031990809993e-32,0.935
matched_whole vs nonmatched_whole,nonmatched_whole,matched_whole,boundary_f1,200,0.057151450626007225,0.2172079047950831,0.1600564541690759,0.14248128430271875,0.17798975637475015,4.563224696141065e-32,0.935
matched_whole vs nonmatched_whole,nonmatched_whole,matched_whole,hd95,200,128.29882128775023,80.038554142864,-48.26026714488622,-56.19752307969412,-40.427084782876754,4.629532032091502e-21,0.795
matched_whole vs nonmatched_whole,nonmatched_whole,matched_whole,area_error,200,0.17658390635027948,0.17812547220431846,0.0015415658540389532,-0.03768978368151009,0.04159033482448817,0.8442599995572255,0.475
matched_background vs matched_boundary,matched_boundary,matched_background,dice,200,0.761063384953039,0.8240496066387861,0.06298622168574705,0.05098355875005358,0.07558114273137533,2.5717937255544486e-23,0.875
matched_background vs matched_boundary,matched_boundary,matched_background,iou,200,0.6352572043079521,0.7219347797843199,0.08667757547636785,0.07222245492227762,0.10157549522222202,1.1318118524522154e-24,0.875
matched_background vs matched_boundary,matched_boundary,matched_background,boundary_f1,200,0.16390474193436633,0.2512948142116261,0.08739007227725973,0.07879362346413825,0.09596260397218848,3.5151330341139346e-32,0.935
matched_background vs matched_boundary,matched_boundary,matched_background,hd95,200,107.29656207103508,86.34842672044687,-20.94813535058823,-26.856450385329946,-14.89608810102592,2.007746987038814e-10,0.71
matched_background vs matched_boundary,matched_boundary,matched_background,area_error,200,0.23977567712058032,0.19038758560944927,-0.04938809151113107,-0.07659588199509068,-0.02132211958259493,1.0007279646180786e-05,0.66
matched_background vs matched_interior,matched_interior,matched_background,dice,200,0.7872700658132362,0.8240496066387861,0.03677954082554991,0.020659661079222808,0.05136624691416404,3.236831466632597e-16,0.8
matched_background vs matched_interior,matched_interior,matched_background,iou,200,0.6617869160639163,0.7219347797843199,0.06014786372040373,0.04105548241865317,0.07822190124446671,2.0509355432389345e-16,0.8
matched_background vs matched_interior,matched_interior,matched_background,boundary_f1,200,0.17390539808232203,0.2512948142116261,0.07738941612930404,0.0675127351266426,0.08755146885098901,1.051804910984846e-27,0.885
matched_background vs matched_interior,matched_interior,matched_background,hd95,200,110.49385629838194,86.34842672044687,-24.145429577935083,-30.875422544958965,-17.249923484158494,1.9296943233189055e-10,0.705
matched_background vs matched_interior,matched_interior,matched_background,area_error,200,0.32950124213279897,0.19038758560944927,-0.13911365652334975,-0.17177691906840487,-0.10672613725440237,2.013979907187168e-13,0.75
matched_whole vs original,original,matched_whole,dice,200,0.7257746415341987,0.8503886651204776,0.12461402358627882,0.10887916439265048,0.1418181286443787,1.425574913497791e-32,0.92
matched_whole vs original,original,matched_whole,iou,200,0.5871690317311429,0.7539769136674983,0.1668078819363554,0.14829436238574956,0.1861948685194628,1.5560686055172472e-32,0.92
matched_whole vs original,original,matched_whole,boundary_f1,200,0.15614414905212187,0.2172079047950831,0.06106375574296125,0.048947512702723274,0.07337200200520995,1.8150520450984861e-16,0.74
matched_whole vs original,original,matched_whole,hd95,200,123.4864809018699,80.038554142864,-43.44792675900589,-50.59189035969887,-36.25624814328655,7.707537651907e-21,0.805
matched_whole vs original,original,matched_whole,area_error,200,0.3243841969150336,0.17812547220431846,-0.14625872471071516,-0.19205685060981972,-0.09925916537642418,1.1198337872842129e-10,0.765
reverse_whole vs matched_whole,matched_whole,reverse_whole,dice,200,0.8503886651204776,0.7257746415341987,-0.12461402358627882,-0.1414993605427375,-0.10835843734690524,1.425574913497791e-32,0.08
reverse_whole vs matched_whole,matched_whole,reverse_whole,iou,200,0.7539769136674983,0.5871690317311429,-0.1668078819363554,-0.1862063809949877,-0.14796744997209962,1.5560686055172472e-32,0.08
reverse_whole vs matched_whole,matched_whole,reverse_whole,boundary_f1,200,0.2172079047950831,0.15614414905212187,-0.06106375574296125,-0.073361814946568,-0.049146724728793244,1.8150520450984861e-16,0.26
reverse_whole vs matched_whole,matched_whole,reverse_whole,hd95,200,80.038554142864,123.4864809018699,43.44792675900589,36.485380684395494,50.47291169163066,7.707537651907e-21,0.195
reverse_whole vs matched_whole,matched_whole,reverse_whole,area_error,200,0.17812547220431846,0.3243841969150336,0.14625872471071516,0.09968596486708209,0.19125138587753276,1.1198337872842129e-10,0.235
