comparison,baseline,candidate,metric,n,baseline_mean,candidate_mean,mean_difference_candidate_minus_baseline,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,candidate_better_fraction
cxr_sd vs original,original,cxr_sd,dice,200,0.7257746415341987,0.7998254412014696,0.07405079966727085,0.05858692920664559,0.09074722936051154,1.2693505949601328e-18,0.785
cxr_sd vs original,original,cxr_sd,iou,200,0.5871690317311429,0.6789764681973114,0.0918074364661686,0.0733139223358524,0.11069137538070607,8.953852617560472e-19,0.785
cxr_sd vs original,original,cxr_sd,boundary_f1,200,0.15614414905212187,0.17213795303771523,0.01599380398559338,0.0066687352668475235,0.025395384600141763,0.0005983996668663382,0.585
cxr_sd vs original,original,cxr_sd,hd95,200,123.4864809018699,103.93325089021182,-19.55323001165807,-25.514729510405477,-13.37102615863941,4.930651643054455e-09,0.65
cxr_sd vs original,original,cxr_sd,area_error,200,0.3243841969150336,0.2837298024795727,-0.040654394435460935,-0.0886864614522092,0.009733162523594428,0.0016505715850237469,0.625
matched_whole vs original,original,matched_whole,dice,200,0.7257746415341987,0.7998254412014696,0.07405079966727085,0.05855530127617673,0.09067907431673149,1.2693505949601328e-18,0.785
matched_whole vs original,original,matched_whole,iou,200,0.5871690317311429,0.6789764681973114,0.0918074364661686,0.07400789516022191,0.1103931136415289,8.953852617560472e-19,0.785
matched_whole vs original,original,matched_whole,boundary_f1,200,0.15614414905212187,0.17213795303771523,0.01599380398559338,0.006614933428616484,0.025388740379975405,0.0005983996668663382,0.585
matched_whole vs original,original,matched_whole,hd95,200,123.4864809018699,103.93325089021182,-19.55323001165807,-25.554711956946953,-13.397663223759263,4.930651643054455e-09,0.65
matched_whole vs original,original,matched_whole,area_error,200,0.3243841969150336,0.2837298024795727,-0.040654394435460935,-0.08870214715230876,0.00880803050943925,0.0016505715850237469,0.625
matched_whole vs cxr_sd,cxr_sd,matched_whole,dice,200,0.7998254412014696,0.7998254412014696,0.0,0.0,0.0,,0.0
matched_whole vs cxr_sd,cxr_sd,matched_whole,iou,200,0.6789764681973114,0.6789764681973114,0.0,0.0,0.0,,0.0
matched_whole vs cxr_sd,cxr_sd,matched_whole,boundary_f1,200,0.17213795303771523,0.17213795303771523,0.0,0.0,0.0,,0.0
matched_whole vs cxr_sd,cxr_sd,matched_whole,hd95,200,103.93325089021182,103.93325089021182,0.0,0.0,0.0,,0.0
matched_whole vs cxr_sd,cxr_sd,matched_whole,area_error,200,0.2837298024795727,0.2837298024795727,0.0,0.0,0.0,,0.0
reverse_whole vs original,original,reverse_whole,dice,200,0.7257746415341987,0.7257746415341987,0.0,0.0,0.0,,0.0
reverse_whole vs original,original,reverse_whole,iou,200,0.5871690317311429,0.5871690317311429,0.0,0.0,0.0,,0.0
reverse_whole vs original,original,reverse_whole,boundary_f1,200,0.15614414905212187,0.15614414905212187,0.0,0.0,0.0,,0.0
reverse_whole vs original,original,reverse_whole,hd95,200,123.4864809018699,123.4864809018699,0.0,0.0,0.0,,0.0
reverse_whole vs original,original,reverse_whole,area_error,200,0.3243841969150336,0.3243841969150336,0.0,0.0,0.0,,0.0
reverse_whole vs matched_whole,matched_whole,reverse_whole,dice,200,0.7998254412014696,0.7257746415341987,-0.07405079966727085,-0.09115235210602742,-0.05818110460296203,1.2693505949601328e-18,0.215
reverse_whole vs matched_whole,matched_whole,reverse_whole,iou,200,0.6789764681973114,0.5871690317311429,-0.0918074364661686,-0.11043917866553556,-0.07360192761280357,8.953852617560472e-19,0.215
reverse_whole vs matched_whole,matched_whole,reverse_whole,boundary_f1,200,0.17213795303771523,0.15614414905212187,-0.01599380398559338,-0.025405563331009042,-0.006704293975326293,0.0005983996668663382,0.415
reverse_whole vs matched_whole,matched_whole,reverse_whole,hd95,200,103.93325089021182,123.4864809018699,19.55323001165807,13.421976003496255,25.41500265817549,4.930651643054455e-09,0.35
reverse_whole vs matched_whole,matched_whole,reverse_whole,area_error,200,0.2837298024795727,0.3243841969150336,0.040654394435460935,-0.009089559710525556,0.08876753995675389,0.0016505715850237469,0.375
matched_whole vs nonmatched_whole,nonmatched_whole,matched_whole,dice,200,0.6111015534576297,0.7998254412014696,0.18872388774383986,0.1676324903235372,0.2103099270361136,6.394770570017783e-31,0.905
matched_whole vs nonmatched_whole,nonmatched_whole,matched_whole,iou,200,0.45314487789556956,0.6789764681973114,0.22583159030174188,0.20196945419287016,0.25032920864807706,4.609932018527079e-31,0.905
matched_whole vs nonmatched_whole,nonmatched_whole,matched_whole,boundary_f1,200,0.054980885402019994,0.17213795303771523,0.11715706763569525,0.10342077417797013,0.1313942275118991,6.841472399366319e-32,0.915
matched_whole vs nonmatched_whole,nonmatched_whole,matched_whole,hd95,200,136.75751825935382,103.93325089021182,-32.824267369142014,-40.443670589713825,-25.388283096379112,4.634441143121669e-13,0.71
matched_whole vs nonmatched_whole,nonmatched_whole,matched_whole,area_error,200,0.18733378195680228,0.2837298024795727,0.09639602052277041,0.04668217383433416,0.14562906435559658,0.00019236317659476336,0.4
matched_background vs matched_boundary,matched_boundary,matched_background,dice,200,0.74214397854287,0.7779102389331984,0.035766260390328465,0.026748306449164615,0.04527902507907467,1.9066163692914014e-13,0.755
matched_background vs matched_boundary,matched_boundary,matched_background,iou,200,0.6048452461422856,0.6540977668209642,0.04925252067867856,0.03779900832484398,0.06113552524201997,4.8093869737697846e-14,0.755
matched_background vs matched_boundary,matched_boundary,matched_background,boundary_f1,200,0.15158737568029618,0.1964312713619681,0.04484389568167188,0.038045882962581115,0.05167757819328742,1.5512786094981772e-24,0.85
matched_background vs matched_boundary,matched_boundary,matched_background,hd95,200,119.76522501867943,107.12880084508862,-12.636424173590827,-17.7177182744321,-7.694603544421807,8.395525884193119e-06,0.625
matched_background vs matched_boundary,matched_boundary,matched_background,area_error,200,0.3406546956391181,0.2670268755169058,-0.07362782012221236,-0.10530884470808399,-0.04301752214943779,1.4109707100702664e-07,0.65
matched_background vs matched_interior,matched_interior,matched_background,dice,200,0.7705685736044289,0.7779102389331984,0.0073416653287694845,-0.00738954513926691,0.02152850435127976,0.00042532256618393405,0.66
matched_background vs matched_interior,matched_interior,matched_background,iou,200,0.6381292546201061,0.6540977668209642,0.0159685122008581,-0.0016355672887208386,0.033629142771745564,0.00024461622887029415,0.66
matched_background vs matched_interior,matched_interior,matched_background,boundary_f1,200,0.16196631349584392,0.1964312713619681,0.03446495786612415,0.02605861628790908,0.0428049898002944,2.288128259522438e-13,0.75
matched_background vs matched_interior,matched_interior,matched_background,hd95,200,119.52126826481818,107.12880084508862,-12.392467419729577,-17.476183821116752,-7.469842353850241,8.977781005137387e-06,0.63
